method,seed,sample_count,entropy_mean,entropy_std,att_mean,att_std,att_min,att_q25,att_median,att_q75,att_max,avg_mean,avg_std,avg_min,avg_q25,avg_median,avg_q75,avg_max,gem_mean,gem_std,gem_min,gem_q25,gem_median,gem_q75,gem_max,max_mean,max_std,max_min,max_q25,max_median,max_q75,max_max
att_avg,13,10000,0.005075498018413782,0.005462552886456251,0.9993532299995422,0.0008971543866209686,0.9711493849754333,0.999241828918457,0.9995983242988586,0.9997897148132324,0.9999867677688599,0.0006468350766226649,0.000897154794074595,1.3242257409729064e-05,0.0002103371371049434,0.00040173143497668207,0.0007582254474982619,0.028850620612502098,,,,,,,,,,,,,,
att_avg,42,10000,0.0053707147017121315,0.005753756500780582,0.9993105530738831,0.000951930065639317,0.978333055973053,0.99919593334198,0.9995710253715515,0.9997699856758118,0.9999779462814331,0.0006895032129250467,0.000951930123846978,2.199542177550029e-05,0.00023005444381851703,0.0004289458738639951,0.0008040880784392357,0.021666917949914932,,,,,,,,,,,,,,
att_avg,2026,10000,0.005685877054929733,0.005991047248244286,0.9992639422416687,0.0009986389195546508,0.9624297618865967,0.9991226196289062,0.9995495676994324,0.9997615218162537,0.9999788999557495,0.000736051588319242,0.000998639385215938,2.1112040485604666e-05,0.00023846951080486178,0.0004504313983488828,0.0008773175650276244,0.03757018968462944,,,,,,,,,,,,,,
att_gem,13,10000,0.0051648057997226715,0.0053173028863966465,0.9993420839309692,0.0008480799151584506,0.9773644804954529,0.9992200136184692,0.9995893239974976,0.9997845888137817,0.9999895095825195,,,,,,,,0.0006578955799341202,0.0008480808464810252,1.0458127690071706e-05,0.0002154320100089535,0.00041065586265176535,0.0007799671730026603,0.022635530680418015,,,,,,,
att_gem,42,10000,0.004820269998162985,0.005173916462808847,0.9993904232978821,0.0008296939777210355,0.9803246855735779,0.9992851614952087,0.9996285438537598,0.999797523021698,0.999984622001648,,,,,,,,0.0006095744902268052,0.0008296945015899837,1.5351237379945815e-05,0.0002025044523179531,0.0003714699705597013,0.0007148573058657348,0.01967533864080906,,,,,,,
att_gem,2026,10000,0.005032055079936981,0.0053705815225839615,0.9993601441383362,0.0008767580147832632,0.974640965461731,0.9992485046386719,0.9996054768562317,0.9997910857200623,0.9999923706054688,,,,,,,,0.0006398476543836296,0.0008767588878981769,7.640836884093005e-06,0.0002089689369313419,0.00039453880162909627,0.0007514803437516093,0.02535904012620449,,,,,,,
att_max,13,10000,0.007412734441459179,0.00621388666331768,0.9990224838256836,0.0010375077836215496,0.9633737802505493,0.9988060593605042,0.9993130564689636,0.9995942711830139,0.999964714050293,,,,,,,,,,,,,,,0.000977527815848589,0.001037508249282837,3.531867696437985e-05,0.000405731174396351,0.0006869182689115405,0.0011939120013266802,0.03662620112299919
att_max,42,10000,0.007471179123967886,0.006507822312414646,0.9990103244781494,0.001086988253518939,0.971763551235199,0.9987940192222595,0.9993149042129517,0.9996002316474915,0.9999501705169678,,,,,,,,,,,,,,,0.000989708467386663,0.0010869884863495827,4.9873186071636155e-05,0.0003998133179266006,0.0006851275684311986,0.001205953536555171,0.028236428275704384
att_max,2026,10000,0.006809786893427372,0.0060885269194841385,0.9991084933280945,0.000998041476123035,0.9781641960144043,0.998924732208252,0.9993905425071716,0.9996495246887207,0.9999630451202393,,,,,,,,,,,,,,,0.0008914225618354976,0.000998041476123035,3.689908407977782e-05,0.00035041989758610725,0.000609459588304162,0.0010751723311841488,0.02183576673269272
dyna,13,10000,0.008040159940719604,0.009237979538738728,0.9990560412406921,0.0013586980057880282,0.9522742629051208,0.998898983001709,0.9994449615478516,0.9997154474258423,0.9999833106994629,0.00028360242140479386,0.0004193094791844487,4.6552231651730835e-06,8.318934123963118e-05,0.0001640187983866781,0.0003288686857558787,0.01507776603102684,0.0002827837015502155,0.00041840606718324125,4.633051958080614e-06,8.28895135782659e-05,0.00016347260680049658,0.00032786556403152645,0.015055281110107899,0.00037760077975690365,0.0005211920943111181,7.388571702904301e-06,0.00011838964564958587,0.00022749882191419601,0.00044428760884329677,0.017592646181583405
dyna,42,10000,0.00914430059492588,0.011086022481322289,0.9989027380943298,0.001686840201728046,0.9612529277801514,0.9987466335296631,0.9993693232536316,0.9996808767318726,0.9999921321868896,0.0003441668231971562,0.0005377340712584555,2.3427569431078155e-06,9.847598266787827e-05,0.0001958515349542722,0.0003916139539796859,0.012480299919843674,0.00034546107053756714,0.0005392919993028045,2.3577224510518136e-06,9.893141395878047e-05,0.00019669384346343577,0.0003931705141440034,0.0125094223767519,0.000407569546950981,0.000609892827924341,3.1608180961484322e-06,0.00012171736307209358,0.00023819789930712432,0.0004686179745476693,0.013757399283349514
dyna,2026,10000,0.008996746502816677,0.010687148198485374,0.9989243149757385,0.0016091433353722095,0.9595984220504761,0.9987467527389526,0.9993840456008911,0.999687671661377,0.9999780654907227,0.0003320290707051754,0.0005067128222435713,6.404776740964735e-06,9.44525672821328e-05,0.0001876959577202797,0.0003850995854008943,0.012903820723295212,0.00033292430453002453,0.000507778546307236,6.431610472645843e-06,9.476427658228204e-05,0.000188273232197389,0.00038619182305410504,0.012925357557833195,0.0004106706182938069,0.0005947717581875622,9.027239684655797e-06,0.00012314363266341388,0.00023988827888388187,0.0004820149624720216,0.014572435058653355
dyna_att_only,13,10000,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
dyna_att_only,42,10000,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
dyna_att_only,2026,10000,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
dyna_drop_att,13,10000,0.6948981881141663,0.17841675877571106,,,,,,,,0.06367571651935577,0.09258335083723068,0.000875498226378113,0.01566915772855282,0.031306758522987366,0.06823986023664474,0.7764981389045715,0.4124050438404083,0.21064993739128113,0.005875883158296347,0.24287977814674377,0.4098997116088867,0.5893800854682922,0.8834948539733887,0.5239192247390747,0.26819518208503723,9.115642751567066e-05,0.3167446255683899,0.5538504123687744,0.7408686876296997,0.9932485818862915
dyna_drop_att,42,10000,0.7041268944740295,0.19167879223823547,,,,,,,,0.06957715004682541,0.09489944577217102,0.001231381087563932,0.017254307866096497,0.03580901399254799,0.07983262091875076,0.8324102163314819,0.39928877353668213,0.20642022788524628,0.00820115115493536,0.23262669146060944,0.3989565372467041,0.5695589780807495,0.8830046653747559,0.5311341285705566,0.26847606897354126,2.0374920495669357e-05,0.3270450830459595,0.5597742199897766,0.7497511506080627,0.9905675053596497
dyna_drop_att,2026,10000,0.6967056393623352,0.18100744485855103,,,,,,,,0.06355459243059158,0.09074694663286209,0.0008940841071307659,0.015433336608111858,0.03157304227352142,0.07017795741558075,0.8016126155853271,0.4115883708000183,0.20960338413715363,0.00842179823666811,0.24641691148281097,0.4081045985221863,0.5851797461509705,0.8882696628570557,0.5248570442199707,0.26690152287483215,3.629118873504922e-05,0.32100141048431396,0.5549517869949341,0.7379950284957886,0.9906841516494751
dyna_drop_avg,13,10000,0.008824852295219898,0.009633735753595829,0.9988954067230225,0.0015547999646514654,0.9543278813362122,0.9987128376960754,0.9993205666542053,0.999634861946106,0.9999740123748779,,,,,,,,0.00046379538252949715,0.0006863864255137742,9.672610758570954e-06,0.00014668899530079216,0.00027766948915086687,0.0005353456363081932,0.020890885964035988,0.0006407691980712116,0.000868779665324837,1.630620135983918e-05,0.0002185144112445414,0.0004017809987999499,0.0007518209749832749,0.0247812457382679
dyna_drop_avg,42,10000,0.00854287575930357,0.009193267673254013,0.9989374279975891,0.0014647005591541529,0.9530113339424133,0.9987483620643616,0.9993477463722229,0.9996492862701416,0.9999769926071167,,,,,,,,0.00046178323100320995,0.0006618964835070074,9.114209206018131e-06,0.0001471898431191221,0.00027749506989493966,0.000540099514182657,0.021893000230193138,0.0006007807678543031,0.0008030367316678166,1.3971677617519163e-05,0.00020349696569610387,0.0003747232258319855,0.0007115279440768063,0.025095589458942413
dyna_drop_avg,2026,10000,0.008522914722561836,0.008813510648906231,0.9989444613456726,0.00140774913597852,0.9459670782089233,0.9987491369247437,0.9993274807929993,0.999626636505127,0.9999746084213257,,,,,,,,0.00043539656326174736,0.0006139925098977983,9.212525583279785e-06,0.00014718595775775611,0.000269907817710191,0.0005114609957672656,0.024653702974319458,0.0006201739888638258,0.0007941974326968193,1.6224650607910007e-05,0.00022620508389081806,0.0004026277456432581,0.0007393573177978396,0.029379181563854218
dyna_drop_gem,13,10000,0.009095629677176476,0.00967661663889885,0.9988585114479065,0.0015489239012822509,0.9524846076965332,0.9986733198165894,0.9992933869361877,0.9996132254600525,0.9999761581420898,0.0004715734103228897,0.0006748437299393117,8.58126804814674e-06,0.00015228019037749618,0.0002834144397638738,0.0005425016861408949,0.021591125056147575,,,,,,,,0.0006699461955577135,0.0008744813385419548,1.5247601368173491e-05,0.0002345083048567176,0.000423164339736104,0.0007842240738682449,0.02592427469789982
dyna_drop_gem,42,10000,0.007916726171970367,0.00837962981313467,0.9990271329879761,0.001289848005399108,0.9662137627601624,0.9988523721694946,0.9993907809257507,0.9996802806854248,0.9999791383743286,0.00042952995863743126,0.0005876959767192602,8.498847819282673e-06,0.00013693269283976406,0.0002641939208842814,0.0005036774091422558,0.015784766525030136,,,,,,,,0.0005433316109701991,0.0007022754871286452,1.242776033905102e-05,0.00018275009642820805,0.0003450463409535587,0.000644002400804311,0.01800147071480751
dyna_drop_gem,2026,10000,0.008693472482264042,0.008632906712591648,0.99892258644104,0.0013313321396708488,0.9651723504066467,0.9987034201622009,0.9993093609809875,0.9996248483657837,0.9999828338623047,0.0004528309218585491,0.0005843117833137512,6.342685537674697e-06,0.0001513847237220034,0.00028339491109363735,0.0005411376478150487,0.01584320142865181,,,,,,,,0.0006245655822567642,0.0007472564466297626,1.0805953024828341e-05,0.00022374163381755352,0.0004072366573382169,0.0007554311887361109,0.018984436988830566
dyna_drop_max,13,10000,0.0070849014446139336,0.00805051252245903,0.9991374015808105,0.0012343026464805007,0.9637106657028198,0.998998761177063,0.9994935989379883,0.9997400641441345,0.9999808073043823,0.00043267698492854834,0.0006186305545270443,9.605834748072084e-06,0.00013047146785538644,0.0002541234134696424,0.0005023024859838188,0.018176011741161346,0.00042992824455723166,0.0006156725576147437,9.507532922725659e-06,0.0001294399844482541,0.00025226606521755457,0.000498936336953193,0.018113311380147934,,,,,,,
